direction,pnl_pct,bars_held,symbol,entry_time,exit_time,entry_price,exit_price,exit_reason,notional_usd,pnl_pct_net,pnl_usd,equity_at_entry,equity_after_exit,was_capped
short,0.0,192,HBARUSDT,1680593400,1680766200,0.067,0.067,timeout,75.0,-0.0012,-0.09,100.0,101.70820696998071,False
short,0.0328106373223291,51,HIGHUSDT,1680685200,1680731100,2.181,2.10944,trail_stop,75.0,0.0316106373223291,2.3707977991746825,100.0,102.37079779917468,False
short,0.0,192,FETUSDT,1680706800,1680879600,0.3567,0.3567,timeout,75.0,-0.0012,-0.09,100.0,101.6182069699807,False
short,-0.0062577365355988,22,APTUSDT,1680741000,1680760800,11.4877,11.559587,trail_stop,76.77809834938101,-0.0074577365355988,-0.5725908291939767,102.37079779917468,101.79820696998071,False
short,-0.0749999999999999,184,CHZUSDT,1680768000,1680933600,0.1254,0.134805,stop_loss,76.28115522748553,-0.0761999999999999,-5.81262402833439,101.70820696998071,96.48760984097211,False
short,0.0101409618573797,85,DOGEUSDT,1680845400,1680921900,0.08442,0.0835639,trail_stop,76.28115522748553,0.008940961857379701,0.6820268993258083,101.70820696998071,102.30023386930651,False
short,0.0250148367952523,150,CHZUSDT,1681021800,1681156800,0.1348,0.131428,trail_stop,72.36570738072908,0.0238148367952523,1.7233775108450478,96.48760984097211,98.21098735181717,False
short,0.0112795750845003,27,HIGHUSDT,1681260300,1681284600,2.071,2.04764,trail_stop,73.65824051386286,0.0100795750845003,0.7424437658516627,98.21098735181717,99.95694564017573,False
short,0.0148239274181148,1,TRXUSDT,1681263900,1681264800,0.06503,0.064066,trail_stop,73.65824051386286,0.0136239274181148,1.0035145225069106,98.21098735181717,99.21450187432407,False
short,1.3474818932134076e-05,42,ARBUSDT,1681264800,1681302600,1.1874,1.187384,trail_stop,74.41087640574305,-0.001186525181067866,-0.08829037860074286,99.21450187432407,99.86888606020803,False
short,0.0009953703703702,42,CHZUSDT,1681264800,1681302600,0.1296,0.129471,trail_stop,74.41087640574305,-0.0002046296296297999,-0.015226670079336018,99.21450187432407,99.8536593901287,False
short,0.0074055781522371,22,FETUSDT,1681264800,1681284600,0.3442,0.341651,trail_stop,74.41087640574305,0.0062055781522371,0.4617625089122942,99.21450187432407,100.41870814908803,False
short,-0.0050024764735017,22,NEARUSDT,1681264800,1681284600,2.019,2.0291,trail_stop,74.41087640574305,-0.0062024764735017,-0.46153171027926404,99.21450187432407,99.95717643880877,False
short,-0.0749999999999998,98,APTUSDT,1681302600,1681390800,11.2004,12.04043,stop_loss,74.89024454259652,-0.07619999999999981,-5.70663663414584,99.8536593901287,94.14702275598286,False
short,-0.000487106017192,12,SOLUSDT,1681484400,1681495200,24.43,24.4419,trail_stop,70.61026706698715,-0.0016871060171919998,-0.11912700644424812,94.14702275598286,94.02789574953862,False
short,0.0,192,DOGEUSDT,1681486200,1681659000,0.08687,0.08687,timeout,70.61026706698715,-0.0012,-0.08473232048038457,94.14702275598286,94.28000443626922,False
short,0.0,192,FILUSDT,1681486200,1681659000,6.012,6.012,timeout,70.61026706698715,-0.0012,-0.08473232048038457,94.14702275598286,94.19527211578884,False
short,0.0059764691463937,11,ARBUSDT,1681606800,1681616700,1.6319,1.622147,trail_stop,70.52092181215396,0.0047764691463937,0.3368410072109959,94.02789574953862,94.36473675674961,False
short,0.0090560709963695,95,HIGHUSDT,1681772400,1681857900,2.479,2.45655,trail_stop,70.64645408684163,0.0078560709963695,0.5550035589479861,94.19527211578884,97.0835265307264,False
short,0.03422714745062,1,ARBUSDT,1681838100,1681839000,1.7416,1.68199,trail_stop,70.64645408684163,0.03302714745062,2.3332508559895744,94.19527211578884,96.52852297177841,False
short,0.0253867924528303,7,CRVUSDT,1681884900,1681891200,1.06,1.0330899999999998,trail_stop,72.8126448980448,0.0241867924528303,1.7611043300906424,97.0835265307264,98.84463086081705,False
short,0.0611619127516778,7,HIGHUSDT,1681884900,1681891200,2.384,2.23819,trail_stop,72.8126448980448,0.0599619127516778,4.36598546059546,97.0835265307264,103.2106163214125,False
short,0.0837344913151364,1,AAVEUSDT,1681891200,1681892100,80.6,73.851,trail_stop,77.40796224105937,0.08253449131513639,6.38882678730712,103.2106163214125,109.59944310871963,False
short,0.0342712410775961,1,ADAUSDT,1681891200,1681892100,0.4343,0.419416,trail_stop,77.40796224105937,0.0330712410775961,2.55997738059953,103.2106163214125,112.15942048931916,False
short,0.0617568580664402,1,APTUSDT,1681891200,1681892100,12.4051,11.639,trail_stop,77.40796224105937,0.0605568580664402,4.687582982644194,103.2106163214125,116.84700347196335,False
short,0.0699661999034283,1,AVAXUSDT,1681891200,1681892100,20.71,19.261,trail_stop,77.40796224105937,0.06876619990342829,5.323051405585717,103.2106163214125,122.17005487754906,False
short,0.0492191620275417,1,DOTUSDT,1681891200,1681892100,6.826,6.49003,trail_stop,77.40796224105937,0.0480191620275417,3.71706548107526,103.2106163214125,125.88712035862433,False
short,0.0200392275196136,190,BNBUSDT,1681892100,1682063100,331.4,324.759,trail_stop,94.41534026896825,0.0188392275196136,1.7787120766688287,125.88712035862433,131.98587109531107,False
short,0.0254730713245995,12,CHZUSDT,1681892100,1681902900,0.1374,0.1339,trail_stop,94.41534026896825,0.0242730713245995,2.2917502884849976,125.88712035862433,128.17887064710933,False
short,0.0126081185709545,22,DOGEUSDT,1681892100,1681911900,0.09041,0.0892701,trail_stop,94.41534026896825,0.0114081185709545,1.077101396705405,125.88712035862433,129.25597204381475,False
short,0.0234094763829997,119,ETHUSDT,1681892100,1681999200,2028.2,1980.7209,trail_stop,94.41534026896825,0.0222094763829997,2.096915269896531,125.88712035862433,129.71685924182464,False
short,-0.0070015948963316,68,BCHUSDT,1681893000,1681954200,125.4,126.278,trail_stop,94.41534026896825,-0.0082015948963316,-0.7743563728853814,125.88712035862433,127.6199439719281,False
short,-0.0076885301042718,3,ARBUSDT,1681946100,1681948800,1.4865,1.497929,trail_stop,96.94197903286107,-0.0088885301042718,-0.8616716990012713,129.25597204381475,128.39430034481347,False
short,0.0062396921385377,1,FETUSDT,1682005500,1682006400,0.3638,0.3615299999999999,trail_stop,97.28764443136848,0.0050396921385377005,0.4902997768176188,129.71685924182464,130.20715901864224,False
short,0.0332919699319891,51,DOGEUSDT,1682057700,1682103600,0.08381,0.0810197999999999,trail_stop,97.65536926398168,0.0320919699319891,3.133953174116993,130.20715901864224,135.11982426942805,False
short,0.0,192,ARBUSDT,1682058600,1682231400,1.426,1.426,timeout,97.65536926398168,-0.0012,-0.117186443116778,130.20715901864224,150.41143559577102,False
short,0.0542778693025811,50,AVAXUSDT,1682058600,1682103600,18.21,17.2216,trail_stop,97.65536926398168,0.0530778693025811,5.183338926488915,130.20715901864224,140.30316319591697,False
short,0.0246992296344861,128,DOTUSDT,1682058600,1682173800,6.101,5.95031,trail_stop,97.65536926398168,0.0234992296344861,2.294825947374841,130.20715901864224,149.00405975481084,False
short,0.0361044776119402,31,NEARUSDT,1682075700,1682103600,2.01,1.93743,trail_stop,98.9894033214833,0.0349044776119402,3.455173412054033,131.98587109531107,143.758336607971,False
short,0.0388853503184712,42,CHZUSDT,1682103600,1682141400,0.1256,0.120716,trail_stop,107.81875245597824,0.0376853503184712,4.063187457204067,143.758336607971,146.709233807436,False
short,0.0153400475274413,81,LTCUSDT,1682103600,1682176500,88.37,87.01440000000001,trail_stop,107.81875245597824,0.0141400475274413,1.5245622840769608,143.758336607971,150.5286220388878,False
short,-0.0091162968630452,16,FILUSDT,1682107200,1682121600,5.228,5.27566,trail_stop,107.81875245597824,-0.0103162968630452,-1.1122902577390554,143.758336607971,142.64604635023193,False
short,-0.0073002754820936,147,ZECUSDT,1682148600,1682280900,36.3,36.565,trail_stop,110.031925355577,-0.0085002754820936,-0.9353016773475642,146.709233807436,140.26597106218253,False
short,-0.0050153191655446,76,APTUSDT,1682174700,1682243100,10.2486,10.3,trail_stop,111.75304481610812,-0.006215319165544599,-0.6945808412535213,149.00405975481084,149.7168547545175,False
short,-0.0749999999999999,92,HIGHUSDT,1682174700,1682257500,1.916,2.0597,stop_loss,111.75304481610812,-0.0761999999999999,-8.515582014987428,149.00405975481084,141.20127273953008,False
short,0.0528400650774561,29,ARBUSDT,1682262900,1682289000,1.4137,1.3390000000000002,trail_stop,105.90095455464756,0.0516400650774561,5.468732184966721,141.20127273953008,145.73470324714924,False
short,5.305039787797824e-05,52,HIGHUSDT,1682406000,1682452800,1.885,1.8849,trail_stop,109.30102743536193,-0.0011469496021220217,-0.12536276992851655,145.73470324714924,145.6093404772207,False
short,0.0439859154929576,2,AAVEUSDT,1682537400,1682539200,71.0,67.87700000000001,trail_stop,109.20700535791553,0.0427859154929576,4.672521702482742,145.6093404772207,150.28186217970347,False
short,0.0351252169600792,4,ADAUSDT,1682537400,1682541000,0.4033,0.389134,trail_stop,109.20700535791553,0.0339252169600792,3.704871350327816,145.6093404772207,171.20740395288632,False
short,0.0660852675910079,2,APTUSDT,1682537400,1682539200,10.4002,9.7129,trail_stop,109.20700535791553,0.06488526759100789,7.085925765460982,145.6093404772207,157.36778794516445,False
short,0.0506249563577961,2,ARBUSDT,1682537400,1682539200,1.4321,1.3596,trail_stop,109.20700535791553,0.0494249563577961,5.39755147378058,145.6093404772207,162.76533941894502,False
short,0.0445781071835804,2,AVAXUSDT,1682537400,1682539200,17.54,16.7581,trail_stop,109.20700535791553,0.0433781071835804,4.737193183613499,145.6093404772207,167.50253260255852,False
short,0.0,192,CHZUSDT,1682539200,1682712000,0.1229,0.1229,timeout,125.62689945191889,-0.0012,-0.15075227934230265,167.50253260255852,171.05665167354402,False
short,0.0,192,XLMUSDT,1682539200,1682712000,0.0925,0.0925,timeout,125.62689945191889,-0.0012,-0.15075227934230265,167.50253260255852,170.90589939420173,False
short,0.0,192,APTUSDT,1682898300,1683071100,10.4965,10.4965,timeout,128.1794245456513,-0.0012,-0.15381530945478156,170.90589939420173,178.40415592479184,False
short,0.0392236384704519,119,ARBUSDT,1682904600,1683011700,1.3808,1.32664,trail_stop,128.1794245456513,0.0380236384704519,4.873848098274413,170.90589939420173,175.77974749247613,False
short,0.0266140297600971,166,FETUSDT,1682904600,1683054000,0.3293,0.320536,trail_stop,128.1794245456513,0.0254140297600971,3.257555710035303,170.90589939420173,178.55797123424662,False
short,0.0,192,LINKUSDT,1682949600,1683122400,6.926,6.926,timeout,128.1794245456513,-0.0012,-0.15381530945478156,170.90589939420173,178.25034061533705,False
short,-0.0025395390872119,97,SOLUSDT,1682949600,1683036900,22.13,22.1862,trail_stop,128.1794245456513,-0.0037395390872119,-0.47933196826479146,170.90589939420173,175.30041552421133,False
