direction,pnl_pct,bars_held,symbol,entry_time,exit_time,entry_price,exit_price,peak_pnl_pct,exit_reason,ml_prob,kelly_fraction,notional_usd,pnl_pct_net,pnl_usd
short,0.0,192,WIFUSDT,1769654700,1769827500,0.31,0.31,0.09677419354838701,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
short,-0.05499999999999995,69,CHZUSDT,1769737500,1769799600,0.04754,0.050154699999999997,0.017248632730332378,stop_loss,,0.02,10.0,-0.05619999999999995,-0.5619999999999995
short,0.0,192,ADAUSDT,1769868900,1770041700,0.3056,0.3056,0.12140052356020932,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
short,0.0,192,CHZUSDT,1769868900,1770041700,0.04635,0.04635,0.12254584681769157,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
short,0.0,192,FETUSDT,1769868900,1770041700,0.1967,0.1967,0.1387900355871887,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
short,0.0,192,SEIUSDT,1769868900,1770041700,0.0915,0.0915,0.12459016393442617,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
short,0.0,192,SUIUSDT,1769868900,1770041700,1.2082,1.2082,0.1451746399602715,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
short,0.0,192,ZECUSDT,1770084900,1770257700,284.19,284.19,0.13353742214715503,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
short,-0.054999999999999986,6,STRKUSDT,1770143400,1770148800,0.0536,0.056548,0.003731343283582067,stop_loss,,0.02,10.0,-0.056199999999999986,-0.5619999999999998
short,0.15000000000000002,132,PEPEUSDT,1770203700,1770322500,4.18e-06,3.5529999999999997e-06,0.17464114832535882,take_profit,,0.02,10.0,0.14880000000000002,1.4880000000000002
short,0.15000000000000005,109,SUIUSDT,1770213600,1770311700,1.1006,0.93551,0.15418862438669823,take_profit,,0.02,10.0,0.14880000000000004,1.4880000000000004
short,0.15000000000000008,80,ZECUSDT,1770225300,1770297300,262.96,223.51599999999996,0.15154396105871604,take_profit,,0.02,10.0,0.14880000000000007,1.4880000000000007
short,0.15000000000000005,36,ADAUSDT,1770304500,1770336900,0.2641,0.224485,0.1650889814464218,take_profit,,0.02,10.0,0.14880000000000004,1.4880000000000004
short,0.15000000000000008,35,CRVUSDT,1770304500,1770336000,0.2503,0.212755,0.16100679184978037,take_profit,,0.02,10.0,0.14880000000000007,1.4880000000000007
short,0.15000000000000008,35,FILUSDT,1770304500,1770336000,0.964,0.8193999999999999,0.16701244813278002,take_profit,,0.02,10.0,0.14880000000000007,1.4880000000000007
short,-0.0549999999999999,72,APTUSDT,1770323400,1770388200,1.035,1.0919249999999998,0.13043478260869557,stop_loss,,0.02,10.0,-0.0561999999999999,-0.5619999999999991
short,-0.0549999999999999,72,ARBUSDT,1770323400,1770388200,0.1078,0.113729,0.12430426716141009,stop_loss,,0.02,10.0,-0.0561999999999999,-0.5619999999999991
short,-0.05500000000000002,1,AVAXUSDT,1770336900,1770337800,7.78,8.2079,0.0,stop_loss,,0.02,10.0,-0.05620000000000002,-0.5620000000000002
short,-0.05499999999999997,6,BCHUSDT,1770336900,1770342300,434.8,458.714,0.0,stop_loss,,0.02,10.0,-0.05619999999999997,-0.5619999999999997
short,-0.054999999999999875,1,BLURUSDT,1770336900,1770337800,0.01757,0.018536349999999997,0.0,stop_loss,,0.02,10.0,-0.056199999999999875,-0.5619999999999987
short,-0.05499999999999998,1,AAVEUSDT,1770337800,1770338700,95.71,100.97404999999999,0.0,stop_loss,,0.02,10.0,-0.05619999999999998,-0.5619999999999998
short,-0.054999999999999945,16,ZECUSDT,1770546600,1770561000,234.24,247.1232,0.006702527322404463,stop_loss,,0.02,10.0,-0.056199999999999944,-0.5619999999999994
short,0.0,192,CRVUSDT,1770645600,1770818400,0.2464,0.2464,0.08319805194805202,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
short,0.0,192,WIFUSDT,1770648300,1770821100,0.223,0.223,0.07623318385650231,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
short,0.0,192,WIFUSDT,1770734700,1770907500,0.216,0.216,0.06018518518518511,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
