direction,pnl_pct,bars_held,symbol,entry_time,exit_time,entry_price,exit_price,peak_pnl_pct,exit_reason,ml_prob,kelly_fraction,notional_usd,pnl_pct_net,pnl_usd
short,0.005729134633126245,50,MUSDT,1769176800,1769221800,1.6259,1.616585,0.03468848022633619,trail_stop,,0.1,50.0,0.004529134633126246,0.22645673165631228
short,0.008976637051661757,4,FARTCOINUSDT,1769178600,1769182200,0.3039,0.301172,0.03784139519578812,trail_stop,,0.1,50.0,0.007776637051661758,0.3888318525830879
short,-0.0024330900243308574,5,XPLUSDT,1769178600,1769183100,0.1233,0.1236,0.02676399026763999,trail_stop,,0.1,50.0,-0.003633090024330857,-0.18165450121654286
short,-0.054999999999999966,95,CHZUSDT,1769179500,1769265000,0.05005,0.052802749999999996,0.01618381618381615,stop_loss,,0.1,50.0,-0.056199999999999965,-2.8099999999999983
short,-0.055,5,IPUSDT,1769179500,1769184000,2.245,2.368475,0.014253897550111371,stop_loss,,0.1,50.0,-0.0562,-2.81
short,-0.007726642639312403,149,CRVUSDT,1769214600,1769348700,0.3607,0.363487,0.02162461879678411,trail_stop,0.39328201841560756,0.1,50.0,-0.008926642639312404,-0.44633213196562016
short,-0.05499999999999988,25,TRADOORUSDT,1769220000,1769242500,0.7379,0.7784844999999999,0.0021683154899038433,stop_loss,,0.1,50.0,-0.05619999999999988,-2.8099999999999943
short,0.06995413397706703,173,VIRTUALUSDT,1769230800,1769386500,0.8285,0.770543,0.0970428485214243,trail_stop,,0.1,50.0,0.06875413397706702,3.437706698853351
short,-0.05499999999999993,5,BIOUSDT,1769237100,1769241600,0.04861,0.05128355,0.0,stop_loss,,0.1,50.0,-0.05619999999999993,-2.8099999999999965
short,-0.0030219915987152396,61,SKYAIUSDT,1769245200,1769300100,0.04047,0.040592300000000005,0.026192241166295985,trail_stop,,0.1,50.0,-0.004221991598715239,-0.21109957993576198
short,-0.00515350877192989,36,PROMUSDT,1769256000,1769288400,2.28,2.29175,0.024122807017543737,trail_stop,,0.1,50.0,-0.00635350877192989,-0.3176754385964945
short,0.017802204044535343,4,QUSDT,1769269500,1769273100,0.017604,0.01729061,0.04640990683935479,trail_stop,,0.1,50.0,0.016602204044535343,0.8301102022267671
short,0.03285242724326944,41,GUNUSDT,1769289300,1769326200,0.033021,0.03193618,0.06102177402259177,trail_stop,,0.1,50.0,0.03165242724326944,1.5826213621634722
short,0.029110068653803237,42,PIEVERSEUSDT,1769295600,1769333400,0.58409,0.5670871000000001,0.05738841616874111,trail_stop,,0.1,50.0,0.027910068653803237,1.3955034326901619
short,0.01452224469160765,11,RAVEUSDT,1769302800,1769312700,0.31648,0.311884,0.04322548028311416,trail_stop,,0.1,50.0,0.01332224469160765,0.6661122345803825
short,0.04053184204519528,70,SIRENUSDT,1769319900,1769382900,0.08762,0.0840686,0.06847751654873323,trail_stop,,0.1,50.0,0.03933184204519528,1.9665921022597639
short,0.06385145482388963,58,METUSDT,1769330700,1769382900,0.2612,0.24452200000000002,0.09111791730474728,trail_stop,,0.1,50.0,0.06265145482388962,3.132572741194481
short,0.09478587904924271,56,MAGMAUSDT,1769333400,1769383800,0.09971,0.0902589,0.12115133888275995,trail_stop,,0.1,50.0,0.0935858790492427,4.679293952462135
short,0.07315931941221968,29,PUMPUSDT,1769349600,1769375700,0.002586,0.00239681,0.10015467904098999,trail_stop,,0.1,50.0,0.07195931941221967,3.5979659706109834
short,0.0032258064516128577,2,AVNTUSDT,1769379300,1769381100,0.3224,0.32136000000000003,0.032258064516129094,trail_stop,,0.1,50.0,0.002025806451612858,0.1012903225806429
short,-0.05499999999999998,44,BASUSDT,1769386500,1769426100,0.003763,0.003969965,0.009832580387988229,stop_loss,,0.1,50.0,-0.05619999999999998,-2.809999999999999
short,0.0636110359751149,115,UBUSDT,1769391000,1769494500,0.03697,0.034618300000000005,0.09088450094671359,trail_stop,,0.1,50.0,0.0624110359751149,3.120551798755745
short,-0.05499999999999987,48,PIEVERSEUSDT,1769398200,1769441400,0.57238,0.6038608999999999,0.0020091547573290198,stop_loss,,0.1,50.0,-0.05619999999999987,-2.8099999999999934
short,0.0,192,ORDIUSDT,1769411700,1769584500,3.847,3.847,0.01221731219131795,timeout,0.5338782619095267,0.1,50.0,-0.0012,-0.06
short,-0.05499999999999988,23,METUSDT,1769422500,1769443200,0.2432,0.25657599999999997,0.004523026315789432,stop_loss,,0.1,50.0,-0.05619999999999988,-2.8099999999999943
short,0.02357611612194093,33,PIPPINUSDT,1769444100,1769473800,0.30933,0.3020372,0.052015646720331016,trail_stop,,0.1,50.0,0.02237611612194093,1.1188058060970465
short,0.029788918205804784,4,MERLUSDT,1769448600,1769452200,0.10233,0.0992817,0.05804749340369394,trail_stop,,0.1,50.0,0.028588918205804784,1.4294459102902393
short,-0.0002423112767941743,34,IPUSDT,1769467500,1769498100,2.146,2.14652,0.02889095992544261,trail_stop,,0.1,50.0,-0.0014423112767941741,-0.0721155638397087
short,0.0013141549525989326,3,AVNTUSDT,1769472000,1769474700,0.3059,0.305498,0.03040209218698931,trail_stop,,0.1,50.0,0.00011415495259893267,0.005707747629946634
short,-0.05500000000000002,66,WLFIUSDT,1769490000,1769549400,0.157,0.165635,0.005732484076433197,stop_loss,,0.1,50.0,-0.05620000000000002,-2.810000000000001
short,-0.054999999999999945,7,GUNUSDT,1769506200,1769512500,0.029204,0.03081022,0.0,stop_loss,,0.1,50.0,-0.056199999999999944,-2.8099999999999974
short,0.0006243805748264703,19,PROMUSDT,1769512500,1769529600,2.018,2.01674,0.02973240832507425,trail_stop,,0.1,50.0,-0.0005756194251735296,-0.028780971258676482
short,-0.00904206675811614,12,BIOUSDT,1769518800,1769529600,0.04374,0.0441355,0.020347508001829034,trail_stop,,0.1,50.0,-0.01024206675811614,-0.512103337905807
short,0.005930232558139441,10,XPLUSDT,1769520600,1769529600,0.129,0.12823500000000002,0.034883720930232585,trail_stop,,0.1,50.0,0.004730232558139441,0.23651162790697206
short,-0.05499999999999984,33,BEATUSDT,1769536800,1769566500,0.2689,0.28368949999999993,0.009297136481963357,stop_loss,,0.1,50.0,-0.05619999999999984,-2.809999999999992
short,-0.003604783599088808,44,SIRENUSDT,1769571900,1769611500,0.0878,0.0881165,0.025626423690205034,trail_stop,,0.1,50.0,-0.004804783599088808,-0.2402391799544404
short,0.01842501175364345,55,IPUSDT,1769595300,1769644800,2.127,2.08781,0.04701457451810045,trail_stop,,0.1,50.0,0.01722501175364345,0.8612505876821726
short,0.020202923137152527,6,HUSDT,1769601600,1769607000,0.15326,0.1501637,0.04874070207490542,trail_stop,,0.1,50.0,0.019002923137152527,0.9501461568576264
short,0.10245779543197608,143,PROMUSDT,1769606100,1769734800,2.014,1.80765,0.12859980139026808,trail_stop,,0.1,50.0,0.10125779543197608,5.062889771598804
short,0.018558828054221405,29,PIEVERSEUSDT,1769616000,1769642100,0.58501,0.5741529,0.04714449325652561,trail_stop,,0.1,50.0,0.017358828054221405,0.8679414027110702
short,0.05968353339842623,7,QUSDT,1769621400,1769627700,0.017411,0.01637185,0.08707139164895755,trail_stop,,0.1,50.0,0.058483533398426234,2.924176669921312
short,0.0685929786066923,94,CRCLXUSDT,1769623200,1769707800,72.92,67.9182,0.09572133845309934,trail_stop,,0.1,50.0,0.0673929786066923,3.369648930334615
short,0.03192749778956672,26,ZEREBROUSDT,1769627700,1769651100,0.01131,0.010948900000000001,0.060123784261715295,trail_stop,,0.1,50.0,0.030727497789566717,1.5363748894783358
short,0.03149976492712743,12,MONUSDT,1769648400,1769659200,0.02127,0.0206,0.05970850963798779,trail_stop,,0.1,50.0,0.03029976492712743,1.5149882463563715
short,0.06911413562559687,52,BASUSDT,1769652000,1769698800,0.004188,0.00389855,0.09622731614135618,trail_stop,,0.1,50.0,0.06791413562559687,3.395706781279843
short,0.07340692540088295,52,BIOUSDT,1769652000,1769698800,0.04303,0.039871300000000005,0.10039507320474082,trail_stop,,0.1,50.0,0.07220692540088294,3.6103462700441473
short,0.01033542054493138,24,GUNUSDT,1769660100,1769681700,0.029545,0.02923964,0.03916060247080719,trail_stop,,0.1,50.0,0.00913542054493138,0.456771027246569
short,0.016530953708867757,25,DOTUSDT,1769684400,1769706900,1.793,1.76336,0.04517568321249301,trail_stop,0.24106307009659042,0.1,50.0,0.015330953708867757,0.7665476854433879
short,0.031207899841297793,53,BCHUSDT,1769698800,1769746500,567.1,549.402,0.05942514547698826,trail_stop,,0.1,50.0,0.030007899841297793,1.5003949920648896
short,0.06736280712078858,1,GRIFFAINUSDT,1769698800,1769699700,0.013594,0.01267827,0.09452699720464909,trail_stop,,0.1,50.0,0.06616280712078858,3.308140356039429
short,-0.0062092391304347325,41,APTUSDT,1769699700,1769736600,1.472,1.48114,0.02309782608695654,trail_stop,,0.1,50.0,-0.007409239130434732,-0.37046195652173664
short,0.09354852144939611,12,BEATUSDT,1769725800,1769736600,0.2401,0.217639,0.11995002082465647,trail_stop,,0.1,50.0,0.0923485214493961,4.617426072469805
