open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1756684800000000,4391.83,4395.86,4372.2,4387.14,6210.1595,1756685699999999,27239627.795587,61553,2890.7985,12681955.159079,0
1756685700000000,4387.13,4394.27,4364.37,4374.83,6918.027,1756686599999999,30290007.714936,66365,2610.036,11428212.554681,0
1756686600000000,4374.83,4401.57,4360.0,4395.93,5776.982,1756687499999999,25303507.837919,74006,2931.5309,12844948.548773,0
1756687500000000,4395.93,4410.8,4390.22,4396.49,3861.9406,1756688399999999,16993006.960431,52788,1943.8094,8554139.410731,0
1756688400000000,4396.49,4407.45,4383.96,4393.7,3482.4466,1756689299999999,15301272.639002,48320,1604.7546,7051621.327206,0
1756689300000000,4393.7,4410.0,4384.0,4408.25,5189.7239,1756690199999999,22840624.723563,44662,3034.7018,13356342.119828,0
1756690200000000,4408.24,4426.8,4402.39,4425.72,7277.8336,1756691099999999,32141626.058301,57229,4354.4767,19232536.486553,0
1756691100000000,4425.72,4432.25,4408.7,4417.82,4870.669,1756691999999999,21530252.354386,52880,1858.7687,8216829.789992,0
1756692000000000,4417.83,4420.1,4392.53,4397.5,6564.7473,1756692899999999,28918597.380335,49323,1879.8602,8286256.66886,0
1756692900000000,4397.5,4399.99,4376.91,4392.28,8026.7037,1756693799999999,35236854.366638,67084,3408.5274,14963136.768167,0
1756693800000000,4392.29,4394.07,4370.14,4378.63,7105.3857,1756694699999999,31127047.535281,56330,2932.001,12844196.807368,0
1756694700000000,4378.63,4390.03,4366.54,4387.59,7979.6692,1756695599999999,34931373.121576,62555,3688.9722,16151963.689212,0
1756695600000000,4387.59,4398.19,4375.04,4378.88,8820.0283,1756696499999999,38689222.104753,59174,4347.9022,19074651.854486,0
1756696500000000,4378.88,4384.34,4371.92,4384.32,3992.0511,1756697399999999,17477081.557241,44977,2182.9735,9557768.77871,0
1756697400000000,4384.32,4392.8,4372.5,4392.8,5482.3382,1756698299999999,24034129.071882,36795,3654.3108,16023015.790878,0
1756698300000000,4392.79,4408.65,4386.69,4404.16,5925.8139,1756699199999999,26060636.91432,32593,4269.2079,18775736.996552,0
1756699200000000,4404.15,4412.38,4396.34,4405.99,5227.0783,1756700099999999,23020813.420996,32944,2763.2713,12169654.826446,0
1756700100000000,4406.0,4407.29,4382.93,4389.02,3684.6067,1756700999999999,16177857.552343,33238,1424.0865,6251422.637093,0
1756701000000000,4389.02,4389.28,4373.12,4379.32,2914.5571,1756701899999999,12765523.334303,35226,1232.4785,5397192.186936,0
1756701900000000,4379.33,4389.97,4373.39,4385.65,2507.5193,1756702799999999,10986313.03056,29694,1229.0848,5385948.588281,0
1756702800000000,4385.65,4392.51,4363.93,4374.21,3948.4106,1756703699999999,17282167.299965,39245,1268.5516,5552511.325726,0
1756703700000000,4374.21,4394.33,4358.67,4393.07,4666.6572,1756704599999999,20433222.657071,43746,2441.7212,10694014.033998,0
1756704600000000,4393.07,4406.55,4385.87,4405.35,3670.9528,1756705499999999,16146160.325995,24162,2493.5219,10967029.166788,0
1756705500000000,4405.35,4406.71,4394.26,4395.01,1933.4238,1756706399999999,8504897.870879,20559,806.7298,3547553.129729,0
1756706400000000,4395.0,4397.36,4375.0,4389.72,2390.6045,1756707299999999,10482057.067609,31835,1150.6069,5044691.357968,0
1756707300000000,4389.72,4403.28,4381.68,4396.88,2640.2271,1756708199999999,11603692.453778,26844,1355.0993,5956313.538363,0
1756708200000000,4396.89,4408.0,4394.25,4405.62,4183.2913,1756709099999999,18418853.714259,28974,2056.0834,9052714.356586,0
1756709100000000,4405.62,4408.68,4396.85,4397.59,3291.3225,1756709999999999,14489723.846139,26315,1412.909,6220991.975587,0
1756710000000000,4397.58,4402.64,4380.18,4380.53,4705.9772,1756710899999999,20671481.479883,30067,1412.1246,6206039.433661,0
1756710900000000,4380.54,4424.77,4380.0,4421.13,8008.5421,1756711799999999,35295436.325563,45873,4459.7182,19661397.649622,0
1756711800000000,4421.13,4437.69,4414.32,4422.01,14100.0604,1756712699999999,62389207.521403,65039,6526.83,28878186.635832,0
1756712700000000,4422.02,4464.0,4421.7,4463.29,14794.757,1756713599999999,65760536.432161,73186,8055.9442,35801183.34946,0
1756713600000000,4463.29,4491.84,4463.11,4474.33,17365.9623,1756714499999999,77783508.561336,100825,8817.9904,39493780.765527,0
1756714500000000,4474.34,4480.91,4466.0,4468.0,4671.4015,1756715399999999,20896266.968865,45269,2408.2879,10773498.881555,0
1756715400000000,4468.0,4476.18,4466.65,4472.11,4816.3988,1756716299999999,21535034.87396,31986,2414.4333,10794457.738745,0
1756716300000000,4472.11,4483.78,4468.28,4476.25,2709.4774,1756717199999999,12128226.422956,29969,1482.5989,6636258.765728,0
1756717200000000,4476.25,4482.81,4471.2,4482.07,2800.2729,1756718099999999,12536401.407787,28817,1841.8282,8245730.526701,0
1756718100000000,4482.07,4482.62,4474.61,4476.36,2907.2902,1756718999999999,13019499.536504,22781,951.1595,4260184.780869,0
1756719000000000,4476.36,4482.0,4457.97,4461.81,4379.4487,1756719899999999,19570732.614558,30711,2569.6501,11485520.228743,0
1756719900000000,4461.82,4461.82,4438.35,4441.36,5273.087,1756720799999999,23459821.711728,37622,2785.6879,12393907.904405,0
1756720800000000,4441.36,4443.95,4426.0,4443.01,3234.8737,1756721699999999,14347807.311898,38425,1662.7093,7374627.237079,0
1756721700000000,4443.0,4445.49,4429.62,4431.23,2352.7511,1756722599999999,10438616.519202,28822,1010.445,4483205.894206,0
1756722600000000,4431.23,4431.24,4392.41,4402.09,7376.0837,1756723499999999,32507763.233104,75935,2547.9676,11224879.273833,0
1756723500000000,4402.09,4409.92,4390.14,4408.5,5221.5665,1756724399999999,22983271.376701,41518,2791.3856,12289768.829627,0
1756724400000000,4408.49,4415.83,4400.99,4402.38,3109.6114,1756725299999999,13709372.912266,30657,1444.4513,6368628.123579,0
1756725300000000,4402.38,4408.26,4395.19,4401.4,3024.6166,1756726199999999,13313666.222988,27682,1242.1398,5468336.440398,0
1756726200000000,4401.4,4401.64,4382.0,4383.2,8556.354,1756727099999999,37567828.850823,43554,5322.9673,23368493.293805,0
1756727100000000,4383.2,4400.93,4381.99,4392.83,3754.7336,1756727999999999,16488037.958976,31085,2334.98,10253947.092289,0
1756728000000000,4392.83,4406.8,4384.65,4399.79,3889.762,1756728899999999,17101564.13689,32896,2093.8748,9207867.231239,0
1756728900000000,4399.79,4412.48,4394.37,4404.94,3122.3778,1756729799999999,13752167.736114,25343,1679.7063,7397388.510217,0
1756729800000000,4404.94,4409.36,4394.5,4397.65,4503.1596,1756730699999999,19827990.819493,27180,2146.6449,9452625.897455,0
1756730700000000,4397.66,4406.25,4395.71,4403.2,3150.9998,1756731599999999,13868462.467258,25539,1118.7032,4923753.813683,0
